music query,identified genre,confidence,expected genre,correct
rap_The Weeknd Timeless with Playboi Carti (Official Music Video)_segment6_brown_intensity_0.35.freqs,pop,0.00302955,rap,false
rap_The Weeknd Timeless with Playboi Carti (Official Music Video)_segment10_white_intensity_0.05.freqs,pop,0.00257906,rap,false
rock_duality_2.freqs,rock,0.041554,rock,true
pop_billie.freqs,rock,0.08942,pop,false
rap_Post Malone - White Iverson_segment9_pink_intensity_0.1.freqs,pop,0.0024777,rap,false
pop_Avicii - Wake Me Up (Official Video)_segment10_white_intensity_0.15.freqs,pop,0.0023876,pop,true
rap_Travis Scott - NO BYSTANDERS (Audio)_segment2_brown_intensity_0.25.freqs,pop,0.00213983,rap,false
rap_Travis Scott - NO BYSTANDERS (Audio)_segment9_white_intensity_0.2.freqs,pop,0.00279304,rap,false
rap_The Weeknd Timeless with Playboi Carti (Official Music Video)_segment3_brown_intensity_0.5.freqs,pop,0.00280431,rap,false
rap_Post Malone - White Iverson_segment6_brown_intensity_0.35.freqs,pop,0.00199342,rap,false
pop_houdini_1.freqs,rock,0.105737,pop,false
rap_Travis Scott - NO BYSTANDERS (Audio)_segment2_white_intensity_0.4.freqs,pop,0.00202721,rap,false
pop_Avicii - Wake Me Up (Official Video)_segment4_white_intensity_0.45.freqs,pop,0.00216236,pop,true
pop_Avicii - Wake Me Up (Official Video)_segment3_brown_intensity_0.2.freqs,pop,0.00246644,pop,true
pop_espresso.freqs,rock,0.107325,pop,false
rap_The Weeknd Timeless with Playboi Carti (Official Music Video)_segment4_white_intensity_0.3.freqs,pop,0.00322101,rap,false
pop_Avicii - Wake Me Up (Official Video)_segment1_brown_intensity_0.1.freqs,pop,0.00254527,pop,true
pop_houdini_2.freqs,rock,0.0879998,pop,false
rap_Post Malone - White Iverson_segment7_pink_intensity_0.2.freqs,pop,0.00263537,rap,false
rock_numb.freqs,rock,0.104453,rock,true
rock_black_2.freqs,rock,0.101055,rock,true
rock_duality_1.freqs,rock,0.103506,rock,true
rap_Travis Scott - NO BYSTANDERS (Audio)_segment5_pink_intensity_0.1.freqs,pop,0.00310839,rap,false
rap_Post Malone - White Iverson_segment7_white_intensity_0.3.freqs,pop,0.00257906,rap,false
rock_black_1.freqs,rock,0.0800046,rock,true
