music query,identified genre,confidence,expected genre,correct
rap_The Weeknd Timeless with Playboi Carti (Official Music Video)_segment6_brown_intensity_0.35.freqs,pop,-0.00105918,rap,false
rap_The Weeknd Timeless with Playboi Carti (Official Music Video)_segment10_white_intensity_0.05.freqs,pop,-0.00387356,rap,false
rock_duality_2.freqs,pop,0.014768,rock,false
pop_billie.freqs,pop,0.0134818,pop,true
rap_Post Malone - White Iverson_segment9_pink_intensity_0.1.freqs,pop,-0.00164929,rap,false
pop_Avicii - Wake Me Up (Official Video)_segment10_white_intensity_0.15.freqs,rock,-0.00140103,pop,false
rap_Travis Scott - NO BYSTANDERS (Audio)_segment2_brown_intensity_0.25.freqs,rap,-0.00160545,rap,true
rap_Travis Scott - NO BYSTANDERS (Audio)_segment9_white_intensity_0.2.freqs,rock,-0.000222891,rap,false
rap_The Weeknd Timeless with Playboi Carti (Official Music Video)_segment3_brown_intensity_0.5.freqs,rap,-0.00162479,rap,true
rap_Post Malone - White Iverson_segment6_brown_intensity_0.35.freqs,rap,-0.0022631,rap,true
pop_houdini_1.freqs,pop,-0.000378278,pop,true
rap_Travis Scott - NO BYSTANDERS (Audio)_segment2_white_intensity_0.4.freqs,rap,-0.000928451,rap,true
pop_Avicii - Wake Me Up (Official Video)_segment4_white_intensity_0.45.freqs,rock,-0.00296126,pop,false
pop_Avicii - Wake Me Up (Official Video)_segment3_brown_intensity_0.2.freqs,rap,-0.00324958,pop,false
pop_espresso.freqs,pop,0.0133759,pop,true
rap_The Weeknd Timeless with Playboi Carti (Official Music Video)_segment4_white_intensity_0.3.freqs,pop,0.000438802,rap,false
pop_Avicii - Wake Me Up (Official Video)_segment1_brown_intensity_0.1.freqs,pop,-0.00361634,pop,true
pop_houdini_2.freqs,pop,-0.000862473,pop,true
rap_Post Malone - White Iverson_segment7_pink_intensity_0.2.freqs,rock,-6.36831e-05,rap,false
rock_numb.freqs,rock,-0.00120998,rock,true
rock_black_2.freqs,pop,0.0164626,rock,false
rock_duality_1.freqs,rock,-0.00178313,rock,true
rap_Travis Scott - NO BYSTANDERS (Audio)_segment5_pink_intensity_0.1.freqs,rap,-0.000676996,rap,true
rap_Post Malone - White Iverson_segment7_white_intensity_0.3.freqs,rock,-0.00020697,rap,false
rock_black_1.freqs,pop,-0.000801949,rock,false
