music query,noise type,noise intensity,result,NCD,expected
Avicii - Wake Me Up (Official Video)_segment5_brown_intensity_0.15.freqs,segment5_brown,0.15,untiljapan - PYRAMIDZ (Official Audio).freqs,0.979851,false
Post Malone - White Iverson_segment5_white_intensity_0.5.freqs,segment5_white,0.5,untiljapan - PYRAMIDZ (Official Audio).freqs,0.979851,false
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment2_brown_intensity_0.25.freqs,segment2_brown,0.25,untiljapan - PYRAMIDZ (Official Audio).freqs,0.974627,false
Post Malone - White Iverson_segment7_pink_intensity_0.5.freqs,segment7_pink,0.5,untiljapan - PYRAMIDZ (Official Audio).freqs,0.975373,false
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment1_white_intensity_0.5.freqs,segment1_white,0.5,untiljapan - PYRAMIDZ (Official Audio).freqs,0.976866,false
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment9_white_intensity_0.35.freqs,segment9_white,0.35,The Weeknd Timeless with Playboi Carti (Official Music Video).freqs,0.976438,true
Avicii - Wake Me Up (Official Video)_segment10_pink_intensity_0.35.freqs,segment10_pink,0.35,untiljapan - PYRAMIDZ (Official Audio).freqs,0.980597,false
Avicii - Wake Me Up (Official Video)_segment7_brown_intensity_0.1.freqs,segment7_brown,0.1,untiljapan - PYRAMIDZ (Official Audio).freqs,0.980597,false
Post Malone - White Iverson_segment4_pink_intensity_0.25.freqs,segment4_pink,0.25,untiljapan - PYRAMIDZ (Official Audio).freqs,0.974627,false
Avicii - Wake Me Up (Official Video)_segment1_brown_intensity_0.15.freqs,segment1_brown,0.15,untiljapan - PYRAMIDZ (Official Audio).freqs,0.982836,false
Avicii - Wake Me Up (Official Video)_segment10_white_intensity_0.2.freqs,segment10_white,0.2,untiljapan - PYRAMIDZ (Official Audio).freqs,0.974627,false
Avicii - Wake Me Up (Official Video)_segment8_white_intensity_0.4.freqs,segment8_white,0.4,untiljapan - PYRAMIDZ (Official Audio).freqs,0.978358,false
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment4_white_intensity_0.4.freqs,segment4_white,0.4,untiljapan - PYRAMIDZ (Official Audio).freqs,0.972388,false
Travis Scott - NO BYSTANDERS (Audio)_segment2_brown_intensity_0.5.freqs,segment2_brown,0.5,untiljapan - PYRAMIDZ (Official Audio).freqs,0.984328,false
Post Malone - White Iverson_segment2_pink_intensity_0.05.freqs,segment2_pink,0.05,untiljapan - PYRAMIDZ (Official Audio).freqs,0.979851,false
Avicii - Wake Me Up (Official Video)_segment6_pink_intensity_0.2.freqs,segment6_pink,0.2,untiljapan - PYRAMIDZ (Official Audio).freqs,0.973881,false
Post Malone - White Iverson_segment3_brown_intensity_0.5.freqs,segment3_brown,0.5,untiljapan - PYRAMIDZ (Official Audio).freqs,0.979104,false
Post Malone - White Iverson_segment9_pink_intensity_0.1.freqs,segment9_pink,0.1,untiljapan - PYRAMIDZ (Official Audio).freqs,0.982836,false
Post Malone - White Iverson_segment9_white_intensity_0.35.freqs,segment9_white,0.35,untiljapan - PYRAMIDZ (Official Audio).freqs,0.979104,false
Avicii - Wake Me Up (Official Video)_segment9_white_intensity_0.5.freqs,segment9_white,0.5,untiljapan - PYRAMIDZ (Official Audio).freqs,0.981343,false
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment5_brown_intensity_0.4.freqs,segment5_brown,0.4,untiljapan - PYRAMIDZ (Official Audio).freqs,0.980597,false
Avicii - Wake Me Up (Official Video)_segment1_white_intensity_0.5.freqs,segment1_white,0.5,untiljapan - PYRAMIDZ (Official Audio).freqs,0.978358,false
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment5_white_intensity_0.1.freqs,segment5_white,0.1,untiljapan - PYRAMIDZ (Official Audio).freqs,0.977612,false
Post Malone - White Iverson_segment10_brown_intensity_0.05.freqs,segment10_brown,0.05,untiljapan - PYRAMIDZ (Official Audio).freqs,0.980597,false
Travis Scott - NO BYSTANDERS (Audio)_segment2_white_intensity_0.4.freqs,segment2_white,0.4,Travis Scott - NO BYSTANDERS (Audio).freqs,0.973723,true
Avicii - Wake Me Up (Official Video)_segment1_pink_intensity_0.15.freqs,segment1_pink,0.15,untiljapan - PYRAMIDZ (Official Audio).freqs,0.977612,false
