music query,noise type,noise intensity,result,NCD,expected
Avicii - Wake Me Up (Official Video)_segment5_brown_intensity_0.15.freqs,segment5_brown,0.15,4th Dimension.freqs,0.998978,false
Post Malone - White Iverson_segment5_white_intensity_0.5.freqs,segment5_white,0.5,4th Dimension.freqs,0.934969,false
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment2_brown_intensity_0.25.freqs,segment2_brown,0.25,4th Dimension.freqs,0.853017,false
Post Malone - White Iverson_segment7_pink_intensity_0.5.freqs,segment7_pink,0.5,4th Dimension.freqs,0.867969,false
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment1_white_intensity_0.5.freqs,segment1_white,0.5,Imagine Dragons - Bones (Official Music Video).freqs,0.979589,false
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment9_white_intensity_0.35.freqs,segment9_white,0.35,4th Dimension.freqs,0.86865,false
Avicii - Wake Me Up (Official Video)_segment10_pink_intensity_0.35.freqs,segment10_pink,0.35,Taylor Swift - Fortnight (feat. Post Malone) (Official Music Video).freqs,0.973871,false
Avicii - Wake Me Up (Official Video)_segment7_brown_intensity_0.1.freqs,segment7_brown,0.1,Coldplay - Viva La Vida (Official Video).freqs,0.943519,false
Post Malone - White Iverson_segment4_pink_intensity_0.25.freqs,segment4_pink,0.25,4th Dimension.freqs,0.913884,false
Avicii - Wake Me Up (Official Video)_segment1_brown_intensity_0.15.freqs,segment1_brown,0.15,Travis Scott - NO BYSTANDERS (Audio).freqs,0.997176,false
Avicii - Wake Me Up (Official Video)_segment10_white_intensity_0.2.freqs,segment10_white,0.2,New_Slaves.freqs,0.994927,false
Avicii - Wake Me Up (Official Video)_segment8_white_intensity_0.4.freqs,segment8_white,0.4,4th Dimension.freqs,0.993224,false
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment4_white_intensity_0.4.freqs,segment4_white,0.4,4th Dimension.freqs,0.846695,false
Travis Scott - NO BYSTANDERS (Audio)_segment2_brown_intensity_0.5.freqs,segment2_brown,0.5,4th Dimension.freqs,0.999811,false
Post Malone - White Iverson_segment2_pink_intensity_0.05.freqs,segment2_pink,0.05,Post Malone - White Iverson.freqs,0.988467,true
Avicii - Wake Me Up (Official Video)_segment6_pink_intensity_0.2.freqs,segment6_pink,0.2,4th Dimension.freqs,0.999811,false
Post Malone - White Iverson_segment3_brown_intensity_0.5.freqs,segment3_brown,0.5,4th Dimension.freqs,0.907525,false
Post Malone - White Iverson_segment9_pink_intensity_0.1.freqs,segment9_pink,0.1,Post Malone - White Iverson.freqs,0.997123,true
Post Malone - White Iverson_segment9_white_intensity_0.35.freqs,segment9_white,0.35,Post Malone - White Iverson.freqs,0.997663,true
Avicii - Wake Me Up (Official Video)_segment9_white_intensity_0.5.freqs,segment9_white,0.5,4th Dimension.freqs,0.869483,false
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment5_brown_intensity_0.4.freqs,segment5_brown,0.4,Travis Scott - NO BYSTANDERS (Audio).freqs,0.988345,false
Avicii - Wake Me Up (Official Video)_segment1_white_intensity_0.5.freqs,segment1_white,0.5,4th Dimension.freqs,0.944773,false
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment5_white_intensity_0.1.freqs,segment5_white,0.1,Coldplay - Viva La Vida (Official Video).freqs,0.970802,false
Post Malone - White Iverson_segment10_brown_intensity_0.05.freqs,segment10_brown,0.05,Coldplay - Viva La Vida (Official Video).freqs,0.942719,false
Travis Scott - NO BYSTANDERS (Audio)_segment2_white_intensity_0.4.freqs,segment2_white,0.4,4th Dimension.freqs,0.888939,false
Avicii - Wake Me Up (Official Video)_segment1_pink_intensity_0.15.freqs,segment1_pink,0.15,4th Dimension.freqs,0.897078,false
Travis Scott - NO BYSTANDERS (Audio)_segment7_white_intensity_0.2.freqs,segment7_white,0.2,4th Dimension.freqs,0.913847,false
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment4_pink_intensity_0.1.freqs,segment4_pink,0.1,4th Dimension.freqs,0.845863,false
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment4_white_intensity_0.45.freqs,segment4_white,0.45,4th Dimension.freqs,0.84662,false
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment7_pink_intensity_0.5.freqs,segment7_pink,0.5,4th Dimension.freqs,0.868234,false
Post Malone - White Iverson_segment7_brown_intensity_0.45.freqs,segment7_brown,0.45,4th Dimension.freqs,0.9785,false
Avicii - Wake Me Up (Official Video)_segment10_white_intensity_0.45.freqs,segment10_white,0.45,4th Dimension.freqs,0.956923,false
Avicii - Wake Me Up (Official Video)_segment5_pink_intensity_0.15.freqs,segment5_pink,0.15,4th Dimension.freqs,0.954311,false
Post Malone - White Iverson_segment1_white_intensity_0.3.freqs,segment1_white,0.3,4th Dimension.freqs,0.999811,false
Travis Scott - NO BYSTANDERS (Audio)_segment2_pink_intensity_0.3.freqs,segment2_pink,0.3,4th Dimension.freqs,0.888977,false
Travis Scott - NO BYSTANDERS (Audio)_segment9_pink_intensity_0.15.freqs,segment9_pink,0.15,4th Dimension.freqs,0.867212,false
Avicii - Wake Me Up (Official Video)_segment4_white_intensity_0.2.freqs,segment4_white,0.2,Taylor Swift - Fortnight (feat. Post Malone) (Official Music Video).freqs,0.973674,false
Avicii - Wake Me Up (Official Video)_segment1_pink_intensity_0.35.freqs,segment1_pink,0.35,Taylor Swift - Fortnight (feat. Post Malone) (Official Music Video).freqs,0.973815,false
Post Malone - White Iverson_segment6_white_intensity_0.45.freqs,segment6_white,0.45,Coldplay - Viva La Vida (Official Video).freqs,0.942209,false
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment5_pink_intensity_0.1.freqs,segment5_pink,0.1,Imagine Dragons - Bones (Official Music Video).freqs,0.977134,false
Post Malone - White Iverson_segment6_white_intensity_0.05.freqs,segment6_white,0.05,4th Dimension.freqs,0.884435,false
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment8_white_intensity_0.25.freqs,segment8_white,0.25,4th Dimension.freqs,0.983761,false
Avicii - Wake Me Up (Official Video)_segment5_pink_intensity_0.05.freqs,segment5_pink,0.05,4th Dimension.freqs,0.977175,false
Travis Scott - NO BYSTANDERS (Audio)_segment7_pink_intensity_0.3.freqs,segment7_pink,0.3,4th Dimension.freqs,0.913468,false
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment1_brown_intensity_0.3.freqs,segment1_brown,0.3,4th Dimension.freqs,0.922401,false
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment5_brown_intensity_0.05.freqs,segment5_brown,0.05,4th Dimension.freqs,0.866833,false
Post Malone - White Iverson_segment10_pink_intensity_0.4.freqs,segment10_pink,0.4,Imagine Dragons - Bones (Official Music Video).freqs,0.976482,false
Avicii - Wake Me Up (Official Video)_segment7_white_intensity_0.4.freqs,segment7_white,0.4,Avicii - Wake Me Up (Official Video).freqs,0.984098,true
Avicii - Wake Me Up (Official Video)_segment6_pink_intensity_0.25.freqs,segment6_pink,0.25,Taylor Swift - Fortnight (feat. Post Malone) (Official Music Video).freqs,0.973815,false
Post Malone - White Iverson_segment1_brown_intensity_0.3.freqs,segment1_brown,0.3,Travis Scott - NO BYSTANDERS (Audio).freqs,0.991384,false
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment3_pink_intensity_0.2.freqs,segment3_pink,0.2,4th Dimension.freqs,0.870619,false
Travis Scott - NO BYSTANDERS (Audio)_segment9_brown_intensity_0.5.freqs,segment9_brown,0.5,Taylor Swift - Fortnight (feat. Post Malone) (Official Music Video).freqs,0.983247,false
Post Malone - White Iverson_segment6_white_intensity_0.25.freqs,segment6_white,0.25,4th Dimension.freqs,0.885192,false
Avicii - Wake Me Up (Official Video)_segment8_pink_intensity_0.5.freqs,segment8_pink,0.5,4th Dimension.freqs,0.896094,false
Post Malone - White Iverson_segment6_brown_intensity_0.4.freqs,segment6_brown,0.4,Travis Scott - NO BYSTANDERS (Audio).freqs,0.998784,false
Avicii - Wake Me Up (Official Video)_segment4_brown_intensity_0.35.freqs,segment4_brown,0.35,4th Dimension.freqs,0.932432,false
